# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.from.file.ms,1698132502813000000,1698132562813000000,182
workspaceModel.moduleManagerBridge.load.all.modules.ms,1698132502813000000,1698132562813000000,101
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698132502813000000,1698132562813000000,74
workspaceModel.mutableEntityStorage.remove.entity.ms,1698132502813000000,1698132562813000000,0
jps.global.handle.before.change.events.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698132502813000000,1698132562813000000,5
jps.facet.change.listener.process.change.events.ms,1698132502813000000,1698132562813000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1698132502813000000,1698132562813000000,0
jps.artifact.entities.serializer.load.entities.ms,1698132502813000000,1698132562813000000,0
jps.load.initial.state.ms,1698132502813000000,1698132562813000000,15
workspaceModel.sync.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1698132502813000000,1698132562813000000,75
workspaceModel.mutableEntityStorage.has.same.entities.ms,1698132502813000000,1698132562813000000,0
jps.global.initialize.library.bridges.ms,1698132502813000000,1698132562813000000,0
jps.save.changed.project.entities.ms,1698132502813000000,1698132562813000000,0
jps.save.global.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.orphan.listener.update.ms,1698132502813000000,1698132562813000000,20
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1698132502813000000,1698132562813000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698132502813000000,1698132562813000000,0
jps.facet.change.listener.init.bridge.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698132502813000000,1698132562813000000,0
jps.apply.loaded.storage.ms,1698132502813000000,1698132562813000000,3956
workspaceModel.mutableEntityStorage.referrers.ms,1698132502813000000,1698132562813000000,0
jps.reload.project.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698132502813000000,1698132562813000000,0
jps.artifact.entities.serializer.save.entities.ms,1698132502813000000,1698132562813000000,0
jps.global.get.library.by.name.ms,1698132502813000000,1698132562813000000,0
jps.project.serializers.load.ms,1698132502813000000,1698132562813000000,240
jps.global.handle.changed.events.ms,1698132502813000000,1698132562813000000,0
jps.module.iml.entities.serializer.save.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.moduleBridge.update.option.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1698132502813000000,1698132562813000000,14
jps.storage.jps.conf.reader.load.component.ms,1698132502813000000,1698132562813000000,81
jps.library.entities.serializer.load.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1698132502813000000,1698132562813000000,4313
